AnimeBirthYM	animeDesc	BirthYM_dt	CCterm	ConceptDesc	ConceptBirthYM	TimingFlag	Connection
2002-04	あずまんが大王 THE ANIMATION	2002-04-01	CC0100000	Occupation	2002-06	PreToBirth	1
2002-04	ベイベーばあちゃん	2002-04-01	CC0100000	Occupation	2002-06	PreToBirth	0
2002-04	十二国記（第1期）	2002-04-01	CC0100000	Occupation	2002-06	PreToBirth	1
2002-04	藍より青し	2002-04-01	CC0100000	Occupation	2002-06	PreToBirth	1
2002-04	あたしンち	2002-04-01	CC0100000	Occupation	2002-06	PreToBirth	1
2002-05	ホイッスル!	2002-05-01	CC0100000	Occupation	2002-06	PreToBirth	1
2002-07	SAMURAI DEEPER KYO	2002-07-01	CC0100000	Occupation	2002-06	BirthToPost	1
2002-07	Witch Hunter ROBIN	2002-07-01	CC0100000	Occupation	2002-06	BirthToPost	1
2002-07	朝霧の巫女	2002-07-01	CC0100000	Occupation	2002-06	BirthToPost	1
2002-07	ドラゴンドライブ	2002-07-01	CC0100000	Occupation	2002-06	BirthToPost	1
2002-07	ふぉうちゅんドッグす	2002-07-01	CC0100000	Occupation	2002-06	BirthToPost	1
2002-08	プリンセスチュチュ	2002-08-01	CC0100000	Occupation	2002-06	BirthToPost	1
2002-09	OVERMANキングゲイナー	2002-09-01	CC0100000	Occupation	2002-06	BirthToPost	1
2002-10	攻殻機動隊 STAND ALONE COMPLEX	2002-10-01	CC0100000	Occupation	2002-06	BirthToPost	1
2002-10	スパイラル -推理の絆-	2002-10-01	CC0100000	Occupation	2002-06	BirthToPost	1
2002-10	花田少年史	2002-10-01	CC0100000	Occupation	2002-06	BirthToPost	0
2002-10	ヒートガイジェイ	2002-10-01	CC0100000	Occupation	2002-06	BirthToPost	1
2002-10	NARUTO -ナルト-	2002-10-01	CC0100000	Occupation	2002-06	BirthToPost	1
2002-10	カスミン（第2期）	2002-10-01	CC0100000	Occupation	2002-06	BirthToPost	1
2002-10	機動戦士ガンダムSEED	2002-10-01	CC0100000	Occupation	2002-06	BirthToPost	1
2002-10	GetBackers-奪還屋-	2002-10-01	CC0100000	Occupation	2002-06	BirthToPost	1
2002-10	真・女神転生Dチルドレン ライト&ダーク	2002-10-01	CC0100000	Occupation	2002-06	BirthToPost	1
2002-10	ギャラクシーエンジェル（第3期）	2002-10-01	CC0100000	Occupation	2002-06	BirthToPost	1
2002-10	ペコラ	2002-10-01	CC0100000	Occupation	2002-06	BirthToPost	0
2002-10	キディ・グレイド	2002-10-01	CC0100000	Occupation	2002-06	BirthToPost	1
2002-10	デュエル・マスターズ	2002-10-01	CC0100000	Occupation	2002-06	BirthToPost	0
2002-11	釣りバカ日誌	2002-11-01	CC0100000	Occupation	2002-06	BirthToPost	1
2002-11	げんき げんき ノンタン	2002-11-01	CC0100000	Occupation	2002-06	BirthToPost	0
2002-11	ポケットモンスター アドバンスジェネレーション	2002-11-01	CC0100000	Occupation	2002-06	BirthToPost	1
2002-11	冒険者	2002-11-01	CC0100000	Occupation	2002-06	BirthToPost	1
2003-01	WOLF'S RAIN	2003-01-01	CC0100000	Occupation	2002-06	BirthToPost	0
2003-01	爆転シュート ベイブレード Gレボリューション	2003-01-01	CC0100000	Occupation	2002-06	BirthToPost	1
2003-02	明日のナージャ	2003-02-01	CC0100000	Occupation	2002-06	BirthToPost	1
2003-02	クラッシュギアNitro	2003-02-01	CC0100000	Occupation	2002-06	BirthToPost	1
2003-04	エアマスター	2003-04-01	CC0100000	Occupation	2002-06	BirthToPost	1
2003-04	E'S OTHERWISE	2003-04-01	CC0100000	Occupation	2002-06	BirthToPost	1
2003-04	宇宙のステルヴィア	2003-04-01	CC0100000	Occupation	2002-06	BirthToPost	1
2003-04	カレイドスター	2003-04-01	CC0100000	Occupation	2002-06	BirthToPost	1
2003-04	D・N・ANGEL	2003-04-01	CC0100000	Occupation	2002-06	BirthToPost	1
2003-04	マーメイドメロディー ぴちぴちピッチ	2003-04-01	CC0100000	Occupation	2002-06	BirthToPost	1
2003-04	アストロボーイ・鉄腕アトム	2003-04-01	CC0100000	Occupation	2002-06	BirthToPost	1
2003-04	金色のガッシュベル!!	2003-04-01	CC0100000	Occupation	2002-06	BirthToPost	1
2003-04	ソニックX	2003-04-01	CC0100000	Occupation	2002-06	BirthToPost	1
2003-04	デ・ジ・キャラットにょ	2003-04-01	CC0100000	Occupation	2002-06	BirthToPost	1
2003-04	FIRESTORM	2003-04-01	CC0100000	Occupation	2002-06	BirthToPost	1
2003-04	コロッケ!	2003-04-01	CC0100000	Occupation	2002-06	BirthToPost	1
2003-04	DEAR BOYS	2003-04-01	CC0100000	Occupation	2002-06	BirthToPost	1
2003-04	LAST EXILE	2003-04-01	CC0100000	Occupation	2002-06	BirthToPost	1
2003-04	スクラップド・プリンセス	2003-04-01	CC0100000	Occupation	2002-06	BirthToPost	1
2003-04	カスミン（第3期）	2003-04-01	CC0100000	Occupation	2002-06	BirthToPost	1
2003-04	探偵学園Q	2003-04-01	CC0100000	Occupation	2002-06	BirthToPost	1
2003-04	GAD GUARD	2003-04-01	CC0100000	Occupation	2002-06	BirthToPost	1
2003-05	ウルトラマニアック	2003-05-01	CC0100000	Occupation	2002-06	BirthToPost	1
2006-12	ショートDEアニメ魂（短編アニメ）	2006-12-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-01	Saint October	2007-01-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-01	デルトラクエスト	2007-01-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-01	メジャー（第3期）	2007-01-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-02	Yes!プリキュア5	2007-02-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-02	古代王者 恐竜キング Dキッズ・アドベンチャー	2007-02-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-02	NARUTO -ナルト- 疾風伝	2007-02-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-03	REIDEEN	2007-03-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	おねがいマイメロディ すっきり♪	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	1
2007-04	ゲゲゲの鬼太郎（第5作）	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	瀬戸の花嫁	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	天元突破グレンラガン	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	ハヤテのごとく!	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	ヒロイック・エイジ	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	魔法少女リリカルなのはStrikerS	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	アイドルマスター XENOGLOSSIA	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	1
2007-04	エル・カザド	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	大江戸ロケット	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	Over Drive	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	CLAYMORE	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	シュガーバニーズ	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	1
2007-04	ながされて藍蘭島	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	ロミオ×ジュリエット	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	鋼鉄三国志	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	DARKER THAN BLACK -黒の契約者-	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	爆丸 バトルブローラーズ	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	やさいのようせい N.Y.SALAD（第1期）	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	かみちゃまかりん	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	風の少女エミリー	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	彩雲国物語（第2期）	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	精霊の守り人	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	地球へ…	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	BLUE DRAGON	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	ラブ★コン	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	ぼくらの	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	らき☆すた	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	風のスティグマ	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	おおきく振りかぶって	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	怪物王女	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-04	チビナックス2.0	2007-04-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-05	電脳コイル	2007-05-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-06	湾岸ミッドナイト	2007-06-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-07	スカイガールズ	2007-07-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-07	ひぐらしのなく頃に解	2007-07-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-10	バンブーブレード	2007-10-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-10	ハローキティ りんごの森とパラレルタウン	2007-10-01	CC0110000	Music and Performance	2007-12	PreToBirth	1
2007-10	魔人探偵脳噛ネウロ	2007-10-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-10	もっけ	2007-10-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-10	ドラゴノーツ -ザ・レゾナンス-	2007-10-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-10	CLANNAD	2007-10-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-10	灼眼のシャナII -Second-	2007-10-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-10	機動戦士ガンダム00（第1期）	2007-10-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-10	キミキス pure rouge	2007-10-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-10	しゅごキャラ!	2007-10-01	CC0110000	Music and Performance	2007-12	PreToBirth	1
2007-10	デュエル・マスターズ ゼロ	2007-10-01	CC0110000	Music and Performance	2007-12	PreToBirth	1
2007-10	まめうしくん	2007-10-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2007-10	メイプルストーリー	2007-10-01	CC0110000	Music and Performance	2007-12	PreToBirth	0
2008-01	全力ウサギ	2008-01-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-01	PERSONA -trinity soul-	2008-01-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-01	メジャー（第4期）	2008-01-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-01	ヤッターマン	2008-01-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-02	Yes!プリキュア5GoGo!	2008-02-01	CC0110000	Music and Performance	2007-12	BirthToPost	1
2008-03	チーズスイートホーム	2008-03-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-04	遊☆戯☆王5D's	2008-04-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-04	リトル・チャロ	2008-04-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-04	To LOVEる -とらぶる-	2008-04-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-04	マクロスF	2008-04-01	CC0110000	Music and Performance	2007-12	BirthToPost	1
2008-04	イタズラなKiss	2008-04-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-04	きらりん☆レボリューション STAGE3	2008-04-01	CC0110000	Music and Performance	2007-12	BirthToPost	1
2008-04	デュエル・マスターズ クロス	2008-04-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-04	BLASSREITER	2008-04-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-04	ペンギンの問題	2008-04-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-04	コードギアス 反逆のルルーシュ R2	2008-04-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-04	S・A 〜スペシャル・エー〜	2008-04-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-04	絶対可憐チルドレン	2008-04-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-04	隠の王	2008-04-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-04	我が家のお稲荷さま。	2008-04-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-04	ソウルイーター	2008-04-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-04	モノクローム・ファクター	2008-04-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-04	RD 潜脳調査室	2008-04-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-04	うちの3姉妹	2008-04-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-04	ゴルゴ13	2008-04-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-04	狂乱家族日記	2008-04-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-04	忍者玉丸	2008-04-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-05	やさいのようせい N.Y.SALAD（第2期）	2008-05-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-06	ロボディーズ -RoboDz- 風雲篇	2008-06-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-06	チビナックス シーズン3	2008-06-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-09	バトルスピリッツ 少年突破バシン	2008-09-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-09	マッハガール	2008-09-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-10	キャシャーン Sins	2008-10-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-10	とらドラ!	2008-10-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-10	CLANNAD 〜AFTER STORY〜	2008-10-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-10	黒執事	2008-10-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-10	鉄のラインバレル	2008-10-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-10	天体戦士サンレッド（第1期）	2008-10-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-10	地獄少女 三鼎	2008-10-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-10	しゅごキャラ!!どきっ	2008-10-01	CC0110000	Music and Performance	2007-12	BirthToPost	1
2008-10	テイルズ オブ ジ アビス	2008-10-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-10	イナズマイレブン	2008-10-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-10	機動戦士ガンダム00（第2期）	2008-10-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-10	スキップ・ビート!	2008-10-01	CC0110000	Music and Performance	2007-12	BirthToPost	1
2008-10	ONE OUTS -ワンナウツ-	2008-10-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-10	スティッチ!	2008-10-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2008-10	とある魔術の禁書目録	2008-10-01	CC0110000	Music and Performance	2007-12	BirthToPost	0
2023-04	MIX MEISEI STORY 2ND SEASON〜二度目の夏、空の向こうへ〜	2023-04-01	CC0111000	DJ	2024-04	PreToBirth	0
2023-04	EDENS ZERO（第2期）	2023-04-01	CC0111000	DJ	2024-04	PreToBirth	0
2023-04	TIGER & BUNNY 2	2023-04-01	CC0111000	DJ	2024-04	PreToBirth	0
2023-04	逃走中 グレートミッション	2023-04-01	CC0111000	DJ	2024-04	PreToBirth	0
2023-04	ぼさにまる	2023-04-01	CC0111000	DJ	2024-04	PreToBirth	0
2023-04	青のオーケストラ（第1期）	2023-04-01	CC0111000	DJ	2024-04	PreToBirth	0
2023-04	ポケットモンスター（2023）	2023-04-01	CC0111000	DJ	2024-04	PreToBirth	0
2023-04	贄姫と獣の王	2023-04-01	CC0111000	DJ	2024-04	PreToBirth	0
2023-07	るろうに剣心 -明治剣客浪漫譚-（第2作 序幕東京）	2023-07-01	CC0111000	DJ	2024-04	PreToBirth	0
2023-07	シャドウバースF セブンシャドウズ編	2023-07-01	CC0111000	DJ	2024-04	PreToBirth	0
2023-07	ダークギャザリング	2023-07-01	CC0111000	DJ	2024-04	PreToBirth	0
2023-07	Helck	2023-07-01	CC0111000	DJ	2024-04	PreToBirth	0
2023-09	チキップダンサーズ（第3期）	2023-09-01	CC0111000	DJ	2024-04	PreToBirth	0
2023-09	葬送のフリーレン（第1期）	2023-09-01	CC0111000	DJ	2024-04	PreToBirth	0
2023-10	キャプテン翼シーズン2 ジュニアユース編	2023-10-01	CC0111000	DJ	2024-04	PreToBirth	0
2023-10	シャングリラ・フロンティア（1st season）	2023-10-01	CC0111000	DJ	2024-04	PreToBirth	0
2023-10	範馬刃牙（第2期）	2023-10-01	CC0111000	DJ	2024-04	PreToBirth	0
2023-10	ラグナクリムゾン	2023-10-01	CC0111000	DJ	2024-04	PreToBirth	0
2023-10	BEYBLADE X	2023-10-01	CC0111000	DJ	2024-04	PreToBirth	0
2023-10	アンデッドアンラック	2023-10-01	CC0111000	DJ	2024-04	PreToBirth	0
2023-10	七つの大罪 黙示録の四騎士（第1期）	2023-10-01	CC0111000	DJ	2024-04	PreToBirth	0
2023-10	薬屋のひとりごと（第1期）	2023-10-01	CC0111000	DJ	2024-04	PreToBirth	0
2024-01	ダンジョン飯	2024-01-01	CC0111000	DJ	2024-04	PreToBirth	0
2024-01	月が導く異世界道中（第二幕）	2024-01-01	CC0111000	DJ	2024-04	PreToBirth	0
2024-02	わんだふるぷりきゅあ!	2024-02-01	CC0111000	DJ	2024-04	PreToBirth	0
2024-04	狼と香辛料 MERCHANT MEETS THE WISE WOLF（第1期）	2024-04-01	CC0111000	DJ	2024-04	PreToBirth	0
2024-04	ちびゴジラの逆襲（第2期）	2024-04-01	CC0111000	DJ	2024-04	PreToBirth	0
2024-04	転生したらスライムだった件（第3期）	2024-04-01	CC0111000	DJ	2024-04	PreToBirth	0
2024-04	ザ・ファブル	2024-04-01	CC0111000	DJ	2024-04	PreToBirth	0
2024-04	シンカリオン チェンジ ザ ワールド	2024-04-01	CC0111000	DJ	2024-04	PreToBirth	0
2024-04	ひみつのアイプリ	2024-04-01	CC0111000	DJ	2024-04	PreToBirth	0
2024-04	夜桜さんちの大作戦（第1期）	2024-04-01	CC0111000	DJ	2024-04	PreToBirth	0
2024-07	多数欠	2024-07-01	CC0111000	DJ	2024-04	BirthToPost	0
2024-07	2.5次元の誘惑（第1期）	2024-07-01	CC0111000	DJ	2024-04	BirthToPost	0
2024-07	FAIRY TAIL 100年クエスト	2024-07-01	CC0111000	DJ	2024-04	BirthToPost	0
2024-07	JOCHUM	2024-07-01	CC0111000	DJ	2024-04	BirthToPost	0
2024-10	アオのハコ	2024-10-01	CC0111000	DJ	2024-04	BirthToPost	0
2024-10	トリリオンゲーム	2024-10-01	CC0111000	DJ	2024-04	BirthToPost	0
2024-10	チ。-地球の運動について-	2024-10-01	CC0111000	DJ	2024-04	BirthToPost	0
2024-10	ぷにるんず ぷに2	2024-10-01	CC0111000	DJ	2024-04	BirthToPost	0
2024-10	ねこに転生したおじさん	2024-10-01	CC0111000	DJ	2024-04	BirthToPost	0
2024-10	ぽちゃーズ	2024-10-01	CC0111000	DJ	2024-04	BirthToPost	0
2024-10	殿と犬	2024-10-01	CC0111000	DJ	2024-04	BirthToPost	0
2024-10	シャングリラ・フロンティア（2nd season）	2024-10-01	CC0111000	DJ	2024-04	BirthToPost	1
2024-11	お買いものパンダ！	2024-11-01	CC0111000	DJ	2024-04	BirthToPost	0
2025-01	ニートくノ一となぜか同棲はじめました	2025-01-01	CC0111000	DJ	2024-04	BirthToPost	0
2025-01	薬屋のひとりごと（第2期）	2025-01-01	CC0111000	DJ	2024-04	BirthToPost	0
2025-01	Aランクパーティを離脱した俺は、元教え子たちと迷宮深部を目指す。（第1期）	2025-01-01	CC0111000	DJ	2024-04	BirthToPost	0
2025-01	魔神創造伝ワタル	2025-01-01	CC0111000	DJ	2024-04	BirthToPost	0
2025-02	キミとアイドルプリキュア♪	2025-02-01	CC0111000	DJ	2024-04	BirthToPost	0
2025-03	鬼人幻燈抄	2025-03-01	CC0111000	DJ	2024-04	BirthToPost	0
2025-04	あらいぐま カルカル団	2025-04-01	CC0111000	DJ	2024-04	BirthToPost	0
2025-04	ンめねこ	2025-04-01	CC0111000	DJ	2024-04	BirthToPost	0
2025-04	アン・シャーリー	2025-04-01	CC0111000	DJ	2024-04	BirthToPost	0
2025-04	えぶりでいホスト	2025-04-01	CC0111000	DJ	2024-04	BirthToPost	0
2025-04	真・侍伝 YAIBA	2025-04-01	CC0111000	DJ	2024-04	BirthToPost	0
2025-04	最強王図鑑 〜The Ultimate Tournament〜	2025-04-01	CC0111000	DJ	2024-04	BirthToPost	0
2025-04	TO BE HERO X	2025-04-01	CC0111000	DJ	2024-04	BirthToPost	0
2025-04	プリンセッション・オーケストラ	2025-04-01	CC0111000	DJ	2024-04	BirthToPost	0
2025-04	Summer Pockets	2025-04-01	CC0111000	DJ	2024-04	BirthToPost	0
2025-04	全力ウサギ（シーズン2）	2025-04-01	CC0111000	DJ	2024-04	BirthToPost	0
2006-12	ショートDEアニメ魂（短編アニメ）	2006-12-01	CC0112000	Idol	2007-12	PreToBirth	0
2007-01	Saint October	2007-01-01	CC0112000	Idol	2007-12	PreToBirth	0
2007-01	デルトラクエスト	2007-01-01	CC0112000	Idol	2007-12	PreToBirth	0
2007-01	メジャー（第3期）	2007-01-01	CC0112000	Idol	2007-12	PreToBirth	0
2007-02	Yes!プリキュア5	2007-02-01	CC0112000	Idol	2007-12	PreToBirth	0
2007-02	古代王者 恐竜キング Dキッズ・アドベンチャー	2007-02-01	CC0112000	Idol	2007-12	PreToBirth	0
2007-02	NARUTO -ナルト- 疾風伝	2007-02-01	CC0112000	Idol	2007-12	PreToBirth	0
2007-03	REIDEEN	2007-03-01	CC0112000	Idol	2007-12	PreToBirth	0
2007-04	おねがいマイメロディ すっきり♪	2007-04-01	CC0112000	Idol	2007-12	PreToBirth	0
2007-04	ゲゲゲの鬼太郎（第5作）	2007-04-01	CC0112000	Idol	2007-12	PreToBirth	0
2007-04	瀬戸の花嫁	2007-04-01	CC0112000	Idol	2007-12	PreToBirth	0
2007-04	天元突破グレンラガン	2007-04-01	CC0112000	Idol	2007-12	PreToBirth	0
2007-04	ハヤテのごとく!	2007-04-01	CC0112000	Idol	2007-12	PreToBirth	0
2007-04	ヒロイック・エイジ	2007-04-01	CC0112000	Idol	2007-12	PreToBirth	0
2007-04	魔法少女リリカルなのはStrikerS	2007-04-01	CC0112000	Idol	2007-12	PreToBirth	0
2007-04	アイドルマスター XENOGLOSSIA	2007-04-01	CC0112000	Idol	2007-12	PreToBirth	1
2007-04	エル・カザド	2007-04-01	CC0112000	Idol	2007-12	PreToBirth	0
2007-04	大江戸ロケット	2007-04-01	CC0112000	Idol	2007-12	PreToBirth	0
2007-04	Over Drive	2007-04-01	CC0112000	Idol	2007-12	PreToBirth	0
2007-04	CLAYMORE	2007-04-01	CC0112000	Idol	2007-12	PreToBirth	0
2007-04	シュガーバニーズ	2007-04-01	CC0112000	Idol	2007-12	PreToBirth	0
2007-04	ながされて藍蘭島	2007-04-01	CC0112000	Idol	2007-12	PreToBirth	0
2007-04	ロミオ×ジュリエット	2007-04-01	CC0112000	Idol	2007-12	PreToBirth	0
2007-04	鋼鉄三国志	2007-04-01	CC0112000	Idol	2007-12	PreToBirth	0
2007-04	DARKER THAN BLACK -黒の契約者-	2007-04-01	CC0112000	Idol	2007-12	PreToBirth	0
2007-04	爆丸 バトルブローラーズ	2007-04-01	CC0112000	Idol	2007-12	PreToBirth	0
