CCterm	descEng	olderCCterm	cafeId	topKu	Age	EraClass	topKuEng	descEngV2	System	NodeShape	ClassLabel	topKu_grouped
CC0100000	Occupation	CC0100000	CCafe649	中央区	13.7	2010to2014	Chyo Ward	Occupation	CC0100000	circle		Others
CC0100000	Occupation	CC0100000	CCafe650	港区	1.17	2023to2024	Minato Ward	Occupation	CC0100000	circle		Minato Ward
CC0100000	Occupation	CC0100000	CCafe651	港区	14.8	2010to2014	Minato Ward	Occupation	CC0100000	circle		Minato Ward
CC0100000	Occupation	CC0100000	CCafe652	千代田区	20.3	Before 2010	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe653	千代田区	18.9	Before 2010	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe654	千代田区	13.9	2010to2014	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe655	千代田区	14.8	2010to2014	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe656	千代田区	15.3	Before 2010	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe657	千代田区	16.0	Before 2010	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe658	千代田区	16.6	Before 2010	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe659	豊島区	19.4	Before 2010	Toyoshima Ward	Occupation	CC0100000	circle		Toyoshima Ward
CC0100000	Occupation	CC0100000	CCafe661	千代田区	14.3	2010to2014	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe662	千代田区	15.2	Before 2010	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe663	千代田区	19.0	Before 2010	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe665	千代田区	17.1	Before 2010	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe666	新宿区	13.1	2010to2014	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe667	千代田区	22.4	Before 2010	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe668	新宿区	16.5	Before 2010	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe670	千代田区	16.9	Before 2010	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe627	千代田区	5.42	2015to2019	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe626	町田市	14.3	2010to2014	Machida City	Occupation	CC0100000	circle		Others
CC0100000	Occupation	CC0100000	CCafe625	千代田区	11.0	2010to2014	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe622	千代田区	10.3	2010to2014	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe547	豊島区	4.25	2020to2022	Toyoshima Ward	Occupation	CC0100000	circle		Toyoshima Ward
CC0100000	Occupation	CC0100000	CCafe548	千代田区	4.34	2020to2022	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe550	千代田区	4.42	2020to2022	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe552	渋谷区	5.42	2015to2019	Shibuya Ward	Occupation	CC0100000	circle		Shibuya Ward
CC0100000	Occupation	CC0100000	CCafe554	新宿区	4.42	2020to2022	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe556	千代田区	4.42	2020to2022	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe559	千代田区	4.75	2020to2022	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe562	千代田区	4.67	2020to2022	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe568	千代田区	5.68	2015to2019	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe570	千代田区	5.92	2015to2019	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe581	千代田区	4.92	2020to2022	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe582	千代田区	5.68	2015to2019	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe318	新宿区	3.59	2020to2022	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe586	文京区	5.59	2015to2019	Bunkyo Ward	Occupation	CC0100000	circle		Bunkyo Ward
CC0100000	Occupation	CC0100000	CCafe594	千代田区	6.09	2015to2019	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe598	渋谷区	7.26	2015to2019	Shibuya Ward	Occupation	CC0100000	circle		Shibuya Ward
CC0100000	Occupation	CC0100000	CCafe601	千代田区	8.76	2015to2019	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe604	千代田区	8.34	2015to2019	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe607	新宿区	20.3	Before 2010	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe610	千代田区	2.0	2020to2022	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe611	千代田区	2.25	2020to2022	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe612	千代田区	9.09	2015to2019	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe613	千代田区	9.84	2015to2019	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe615	港区	9.09	2015to2019	Minato Ward	Occupation	CC0100000	circle		Minato Ward
CC0100000	Occupation	CC0100000	CCafe616	千代田区	6.59	2015to2019	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe618	千代田区	2.67	2020to2022	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe588	新宿区	5.84	2015to2019	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe314	渋谷区	0.671	2023to2024	Shibuya Ward	Occupation	CC0100000	circle		Shibuya Ward
CC0100000	Occupation	CC0100000	CCafe450	台東区	3.0	2020to2022	Taito Ward	Occupation	CC0100000	circle		Taito Ward
CC0100000	Occupation	CC0100000	CCafe307	新宿区	0.586	2023to2024	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe108	千代田区	1.84	2023to2024	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe110	新宿区	1.59	2023to2024	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe112	杉並区	1.51	2023to2024	Suginami Ward	Occupation	CC0100000	circle		Others
CC0100000	Occupation	CC0100000	CCafe117	新宿区	3.67	2020to2022	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe118	町田市	3.84	2020to2022	Machida City	Occupation	CC0100000	circle		Others
CC0100000	Occupation	CC0100000	CCafe119	新宿区	3.75	2020to2022	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe120	千代田区	4.51	2020to2022	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe123	千代田区	4.92	2020to2022	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe125	千代田区	11.3	2010to2014	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe126	千代田区	1.92	2023to2024	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe127	新宿区	1.92	2023to2024	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe130	板橋区	2.92	2020to2022	Itabashi Ward	Occupation	CC0100000	circle		Others
CC0100000	Occupation	CC0100000	CCafe131	千代田区	2.17	2020to2022	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe132	千代田区	2.25	2020to2022	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe134	千代田区	2.42	2020to2022	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe136	世田谷区	2.42	2020to2022	Setagaya Ward	Occupation	CC0100000	circle		Others
CC0100000	Occupation	CC0100000	CCafe138	千代田区	4.09	2020to2022	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe147	豊島区	2.59	2020to2022	Toyoshima Ward	Occupation	CC0100000	circle		Toyoshima Ward
CC0100000	Occupation	CC0100000	CCafe149	文京区	2.84	2020to2022	Bunkyo Ward	Occupation	CC0100000	circle		Bunkyo Ward
CC0100000	Occupation	CC0100000	CCafe156	千代田区	2.58	2020to2022	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe165	千代田区	3.92	2020to2022	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe168	中央区	4.09	2020to2022	Chyo Ward	Occupation	CC0100000	circle		Others
CC0100000	Occupation	CC0100000	CCafe174	千代田区	11.5	2010to2014	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe175	千代田区	4.75	2020to2022	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe176	千代田区	1.09	2023to2024	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe107	新宿区	5.26	2015to2019	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe106	千代田区	1.25	2023to2024	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe105	豊島区	1.17	2023to2024	Toyoshima Ward	Occupation	CC0100000	circle		Toyoshima Ward
CC0100000	Occupation	CC0100000	CCafe309	町田市	0.586	2023to2024	Machida City	Occupation	CC0100000	circle		Others
CC0100000	Occupation	CC0100000	CCafe006	台東区	0.921	2023to2024	Taito Ward	Occupation	CC0100000	circle		Taito Ward
CC0100000	Occupation	CC0100000	CCafe007	新宿区	0.586	2023to2024	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe011	台東区	0.671	2023to2024	Taito Ward	Occupation	CC0100000	circle		Taito Ward
CC0100000	Occupation	CC0100000	CCafe018	新宿区	1.09	2023to2024	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe019	新宿区	1.34	2023to2024	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe021	新宿区	2.34	2020to2022	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe024	文京区	3.59	2020to2022	Bunkyo Ward	Occupation	CC0100000	circle		Bunkyo Ward
CC0100000	Occupation	CC0100000	CCafe028	新宿区	1.25	2023to2024	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe034	新宿区	0.586	2023to2024	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe037	千代田区	0.671	2023to2024	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe042	千代田区	0.751	2023to2024	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe043	渋谷区	0.751	2023to2024	Shibuya Ward	Occupation	CC0100000	circle		Shibuya Ward
CC0100000	Occupation	CC0100000	CCafe177	港区	1.17	2023to2024	Minato Ward	Occupation	CC0100000	circle		Minato Ward
CC0100000	Occupation	CC0100000	CCafe044	新宿区	2.0	2020to2022	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe050	中野区	1.17	2023to2024	Nakano Ward	Occupation	CC0100000	circle		Nakano Ward
CC0100000	Occupation	CC0100000	CCafe055	新宿区	0.921	2023to2024	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe056	新宿区	0.921	2023to2024	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe058	文京区	1.0	2023to2024	Bunkyo Ward	Occupation	CC0100000	circle		Bunkyo Ward
CC0100000	Occupation	CC0100000	CCafe063	千代田区	1.09	2023to2024	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe064	文京区	1.59	2023to2024	Bunkyo Ward	Occupation	CC0100000	circle		Bunkyo Ward
CC0100000	Occupation	CC0100000	CCafe066	新宿区	1.75	2023to2024	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe068	新宿区	2.51	2020to2022	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe072	武蔵野市	3.0	2020to2022	Musashino City	Occupation	CC0100000	circle		Others
CC0100000	Occupation	CC0100000	CCafe079	千代田区	0.921	2023to2024	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe080	世田谷区	1.34	2023to2024	Setagaya Ward	Occupation	CC0100000	circle		Others
CC0100000	Occupation	CC0100000	CCafe084	千代田区	1.75	2023to2024	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe049	渋谷区	0.921	2023to2024	Shibuya Ward	Occupation	CC0100000	circle		Shibuya Ward
CC0100000	Occupation	CC0100000	CCafe178	千代田区	6.42	2015to2019	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe099	千代田区	4.34	2020to2022	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe184	渋谷区	1.34	2023to2024	Shibuya Ward	Occupation	CC0100000	circle		Shibuya Ward
CC0100000	Occupation	CC0100000	CCafe250	豊島区	4.92	2020to2022	Toyoshima Ward	Occupation	CC0100000	circle		Toyoshima Ward
CC0100000	Occupation	CC0100000	CCafe254	千代田区	2.17	2020to2022	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe255	新宿区	2.59	2020to2022	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe257	千代田区	3.42	2020to2022	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe260	千代田区	3.75	2020to2022	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe263	新宿区	5.68	2015to2019	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe267	千代田区	1.67	2023to2024	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe270	千代田区	6.01	2015to2019	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe271	千代田区	6.17	2015to2019	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe272	千代田区	2.92	2020to2022	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe273	千代田区	7.26	2015to2019	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe275	千代田区	10.6	2010to2014	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe248	新宿区	3.34	2020to2022	Shinjyuku Ward	Occupation	CC0100000	circle		Shinjyuku Ward
CC0100000	Occupation	CC0100000	CCafe278	千代田区	6.25	2015to2019	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe282	千代田区	7.75	2015to2019	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe283	中野区	9.68	2015to2019	Nakano Ward	Occupation	CC0100000	circle		Nakano Ward
CC0100000	Occupation	CC0100000	CCafe284	豊島区	10.4	2010to2014	Toyoshima Ward	Occupation	CC0100000	circle		Toyoshima Ward
CC0100000	Occupation	CC0100000	CCafe286	千代田区	9.01	2015to2019	Chiyoda Ward	Occupation	CC0100000	circle		Chiyoda Ward
CC0100000	Occupation	CC0100000	CCafe287	北区	5.75	2015to2019	Kita Ward	Occupation	CC0100000	circle		Others
