Description	Nofcc	Upper	Decided
オリジナル衣装	2	divdiVupperオリジナルupper外観_divdiVupper衣装upperファッション	2
ロリータ	2	upperファッション	2
カラオケ	2	upperエンタメ	2
南国	2	upper海upper自然ORORupper国	2
エロい	2	upper外観	2
DJ	2	upper職業ORORupper音楽upperエンタメ	2
面白い	2	upper性質	2
韓国	2	upper国	2
ギルド	2	upper施設upper人工物	2
音楽	2	upperエンタメ	2
アフィリア王国	2	upper異世界	2
宇宙	2	upperなし	2
アイドル育成	2	divdiVupperアイドルupper職業_divdiVupper育成upper店内方針	2
豪華	2	upper外観	2
Y3K	2	upperファッション	2
童話	2	upper異世界	2
不思議な森	2	divdiVupper異世界_divdiVupper森upper自然	2
メンヘラ	2	upper性質	2
お菓子の国	2	divdiVupper異世界_divdiVupperお菓子upper食べ物upper店内サービス	2
ウェイトレス	2	upper職業	2
昼	2	upper時間	2
学校	2	upper施設upper人工物	2
レトロ	2	upper気持ち	2
花	2	upper自然	2
グラビアアイドル	1	upperアイドルupper職業	2
アミューズメント	1	エンタメ	2
デジタル	1	upperなし	2
ネオンポップ	1	divdiVupperネオンupper装飾upperその他物_divdiVupperポップupper音楽upperエンタメORORポップupper外観	2
シチュエーション	1	upper状態	2
夜景	1	upper夜upper時間	2
神話の世界	1	upper異世界ORORupper神upper善	2
秘密のお茶会	1	divdiVupper秘密upperその他事_divdiVupperお茶会upperパーティ_divdiVupperお茶会upperお茶upper飲み物upper店内サービス	2
ゲーム部屋	1	divdiVupperゲームupperエンタメ_divdiVupper部屋upper家upper人工物	2
リゾート	1	upper施設upper人工物	2
私服	1	upperファッション	2
伝説戦士	1	divdiVupper伝説upper空想_divdiVupper戦士upper職業	2
王子	1	upper身分	2
悪夢	1	upper夢upper空想	2
料理	1	upper店内サービス	2
ミリタリー	1	upper職業	2
天空	1	upper空upper自然	2
ベイプ	1	upper店内設備	2
狼	1	upper動物	2
飲めるアイドル	1	divdiVupper飲めるupper能力_divdiVupperアイドルupper職業
氷の国	1	divdiVupper氷upperその他物_divdiVupper異世界	2
診療所	1	upper施設upper人工物	2
精霊	1	upper空想	2
ノスタルジー	1	upper気持ち	2
温かい	1	upper気持ち	2
魔法研究所	1	divdiVupper魔法upper空想_divdiVupper研究所upper施設upper人工物	2
学生	1	upper職業	2
和	1	upperなし	2
清楚	1	upper外観	2
むっちり	1	upper外観	2
魔法学校	1	divdiVupper魔法upper空想_divdiVupper学校upper施設upper人工物	2
天体観測	1	upper宇宙	2
レンタル	1	upper店内サービス	2
撮影スタジオ	1	upper店内設備	2
女子学生	1	upper学生upper職業	2
交換日記	1	upper店内サービス	2
キャンディーの国	1	divdiVupperキャンディーupperお菓子upper食べ物upper店内サービス_divdiVupper異世界	2
ドラクエ	1	upperゲームupperエンタメ	2
アメリカンウェイトレス	1	divdiVupperアメリカンupper国_divdiVupperウェイトレスupper職業	2
銭湯	1	upper施設upper人工物ORORupper和	2
昭和レトロ	1	divdiVupper昭和upper時代_divdiVupperレトロupper気持ち	2
萌え	1	upper気持ち	2
特撮	1	upper店内サービス	2
くらげ	1	upper海upper自然	2
かっこいい	1	upper外観	2
きゅるきゅる	1	upper外観	2
怪盗	1	upperならず者	2
魔法戦士	1	divdiVupper魔法upper空想_divdiVupper戦士upper職業	2
酒イキリ	1	divdiVupperお酒upper飲み物upper店内サービス_divdiVupperイキリupper性質	2
知的	1	upper性質	2
亜人	1	upper空想	2
ぽっちゃり	1	upper外観	2
蝶	1	upper虫	2
ちょい飲み	1	upperお酒upper飲み物upper店内サービス	2
バニーメイド	1	divdiVupperうさぎupper動物_divdiVupperメイドupper職業	2
魔導	1	upper魔法upper空想	2
魔法メイド学院	1	divdiVupper魔法upper空想_divdiVupperメイドupper職業_divdiVupper学校upper施設upper人工物	2
不思議の国	1	upper異世界	2
ジャングル	1	upper自然	2
忍者	1	upper職業ORORupper和	2
鉄道	1	upper乗り物	2
ギャル	1	upper外観	2
制服	1	upperファッション	2
大正	1	upper時代	2
本	1	upperその他物	2
タイムリープ	1	upper時代	2
メイド服	1	divdiVupperメイドupper職業_divdiVupperファッション	2
やさしい異端児	1	divdiVupperやさしいupper性質_divdiVupper異端児upper性質	2
ギャルゲー	1	upperゲームupperエンタメ	2
ナチュラル	1	upper性質	2
パワースポット	1	upper自然	2
軽音部	1	upper学校upper施設upper人工物ORORupper音楽upperエンタメ	2
神殿	1	upper施設upper人工物ORORupper神upper善	2
お茶会	1	divdiVupperお茶upper飲み物upper店内サービス_divdiVupperパーティ	2
ぬいぐるみ	1	upperおもちゃ	2
チャイナロリータ	1	divdiVupperチャイナupper国_divdiVupperロリータupperファッション	2
上野最強	1	divdiVupper上野upper地名_divdiVupper最強upper性質	2
フード	1	upper食べ物upper店内サービス	2
甘い夢	1	divdiVupper甘いupper性質_divdiVupper夢upper空想	2
かわいいメイド	1	divdiVupperかわいいupper外観_divdiVupperメイドupper職業	2
ベースボールガール	1	divdiVupperベースボールupperスポーツupperエンタメ_divdiVupper外観	2
安心	1	upper気持ち	2
死神	1	upper神upper善	2
ちびかわ	1	divdiVupperちいさいupper外観_divdiVupperかわいいupper外観	2
チェス	1	upperゲームupperエンタメ	2
着せ替え人形	1	upperドールupperおもちゃ	2
レトロモダン	1	divdiVupperレトロupper気持ち_divdiVupperモダンupper時代	2
パティスリー	1	upperお菓子upper食べ物upper店内サービス	2
氷	1	upperその他物	2
おもちゃ	1	upperなし	2
探偵	1	upper職業	2
トレーニング	1	upper店内サービス	2
ナース	1	upper職業	2
白雪姫	1	upperお姫様upper身分	2
エレガント	1	upper性質	2
黒	1	upper色	2
エモ	1	upper気持ち	2
地雷系堕天使	1	divdiVupper地雷系upperファッション_divdiVupper堕天使upper悪魔upper悪	2
光	1	upper自然	2
闇	1	upper自然	2
おいしい	1	upper性質	2
ゆるい	1	upper性質	2
モノトーン	1	upper色	2
スタイリッシュ	1	upper外観	2
ソーシャルゲームアプリ	1	upperゲームupperエンタメ	2
ユートピア	1	upper異世界	2
和装	1	divdiVupper和_divdiVupperファッション	2
部屋	1	upper家upper人工物	2
きれい	1	upper外観	2
魔法メイド	1	divdiVupper魔法upper空想_divdiVupperメイドupper職業	2
アミューズメントパーク	1	divdiVupperアミューズメントupperエンタメ_divdiVupper施設upper人工物	2
モンスター	1	upper空想	2
ゆるやみ	1	upperファッション	2
巨大モニター	1	upper店内設備	2
鏡	1	upperその他物	2
世界	1	upperその他所	2
AV女優	1	upper女優upper職業	2
教会	1	upper施設upper人工物ORORupper神upper善	2
自転車	1	upper乗り物	2
アメリカンダイナー	1	divdiVupperアメリカンupper国_divdiVupperダイナーupper接客方法ORORupperダイナーupper施設upper人工物	2
カードゲーム	1	upperゲームupperエンタメ	2
会員制	1	upper店内方針	2
バンギャ	1	upper外観	2
猫型ロボットメイド	1	divdiVupper猫upper動物_divdiVupperロボット_divdiVupperメイドupper職業	2
美少女ゲーム	1	upperゲームupperエンタメ	2
あめ玉	1	upperお菓子upper食べ物upper店内サービス	2
女児	1	upper外観	2
宅飲み	1	upperお酒upper飲み物upper店内サービス	2
プリズムパラドックス	1	upper異世界	2
パンク	1	upper音楽upperエンタメ	2
ライバー	1	upper職業	2
宮殿	1	upper施設upper人工物	2
秘密	1	upperその他事	2
アイドルオタク	1	divdiVupperアイドルupper職業_divdiVupperオタクupper性質	2
量産	1	upperファッション	2
ロリコン	1	upper性質	2
監獄	1	upper施設upper人工物	2
ジャニオタ	1	upper性質	2
雲の世界	1	upper異世界	2
温故知新	1	upper行為	2
流行りの制服	1	upperファッション	2
冒険者	1	upper職業	2
ロック	1	upper音楽upperエンタメ	2
蜃気楼	1	upper現象	2
リボン	1	upperファッション	2
空	1	upper自然	2
都会	1	upper人工物	2
メロメロ	1	upper気持ち	2
宇宙船	1	upper宇宙ORORupper乗り物	2
地雷	1	upper地雷系upperファッション	2
オタクの遊び場	1	divdiVupperオタクupper性質_divdiVupper遊び場upper施設upper人工物	2
ラビリンス	1	upper異世界	2
愛	1	upper気持ち	2
バカ笑い	1	upper気持ち	2
限界飲酒	1	upper能力	2
パブ	1	upper接客方法ORORupper施設upper人工物	2
遊園地	1	upper施設upper人工物	2
ジェンダーレス	1	upperファッション	2
童話の世界	1	upper異世界	2
撮影モデル	1	upperモデルupper職業	2
秘密のお部屋	1	divdiVupper秘密upperその他事_divdiVupper部屋upper家upper人工物	2
龍姫	1	divdiVupperドラゴンupper動物ORORupperドラゴンupper空想_divdiVupperお姫様upper身分	2
海のお姫様	1	divdiVupper海upper自然_divdiVupperお姫様upper身分	2
夜の社交場	1	divdiVupper夜upper時間_divdiVupper社交場upper施設upper人工物	2
潜水艦	1	upper海upper自然ORORupper乗り物	2
e-sports	1	upperスポーツupperエンタメORORupperゲームupperエンタメ	2
くまのぬいぐるみ	1	divdiVupperくまupper動物_divdiVupperぬいぐるみupperおもちゃ	2
動物オタク	1	divdiVupper動物_divdiVupperオタクupper性質	2
メロディースクール	1	divdiVupperメロディーupper音楽upperエンタメ_divdiVupper学校upper施設upper人工物	2
OL	1	upper職業	2
癒し	1	upper気持ち	2
地域密着	1	upper活動	2
目標	1	upperその他事	2
将来の夢	1	upperその他事	2
リーズナブル	1	upper店内サービス	2
ゴージャス	1	upper外観	2
秘密のパーティー	1	divdiVupper秘密upperその他事_divdiVupperパーティ	2
女の子	1	upper外観	2
育成	1	upper店内方針	2
着せ替えフランス人形	1	divdiVupperフランスupper国_divdiVupper着せ替え人形upperドールupperおもちゃ	2
ときめき	1	upper気持ち	2
ヴェイパーウェイブ	1	upper音楽upperエンタメ	2
韓国アイドル	1	divdiVupper韓国upper国_divdiVupperアイドルupper職業	2
一目惚れ	1	upper気持ち	2
病的にPOP	1	divdiVupper病的upper性質_divdiVupperポップupper音楽upperエンタメORORupperポップupper外観	2
ひきこもりジャージメイド	1	divdiVupperひきこもりupper性質_divdiVupperジャージupperファッション_divdiVupperメイドupper職業	2
空港ラウンジ	1	divdiVupper空港upper施設upper人工物_divdiVupperラウンジupper施設upper人工物ORORupperラウンジupper接客方法	2
星空	1	divdiVupper星upper宇宙_divdiVupper空upper自然	2
正統派アイドル	1	divdiVupper正統派upper性質_divdiVupperアイドルupper職業	2
都会の森の妖精	1	divdiVupper都会upper人工物_divdiVupper森upper自然_divdiVupper妖精upper空想	2
天使界隈	1	upper天使upper神upper善	2
王	1	upper身分	2
裏社会情報員	1	upperスパイupper職業	2
スパイ	1	upper職業	2
深海	1	upper海upper自然	2
看守	1	upper職業	2
収容所	1	upper施設upper人工物	2
魔法使い	1	upper魔法upper空想	2
チャイナメイド	1	divdiVupperチャイナupper国_divdiVupperメイドupper職業	2
朝昼	1	divdiVupper朝upper時間_divdiVupper昼upper時間	2
キャバクラ	1	upper接客方法ORORupper施設upper人工物	2
サイバーサキュバス	1	divdiVupperサイバーupper電脳upperデジタル_divdiVupperサキュバスupper悪魔upper悪	2
人狼	1	upperモンスターupper空想	2
仔猫	1	upper猫upper動物	2
配信	1	upper店内方針	2
指輪	1	upperその他物	2
ツンデレ	1	upper性質	2
かまってちゃん	1	upper性質	2
夜行性	1	upper性質	2
さみしがり屋	1	upper性質	2
二日酔い	1	upper状態	2
けもみみメイド	1	divdiVupperけもみみupper動物_divdiVupperメイドupper職業	2
氷のお城	1	divdiVupper氷upperその他物_divdiVupperお城upper施設upper人工物	2
晩酌	1	upper店内サービス	2
スイートホリー	1	upper性質	2
ギャンブル	1	upperエンタメ	2
庭園	1	upper施設upper人工物	2
ドールハウス	1	divdiVupperドールupperおもちゃ_divdiVupper家upper人工物	2
バル	1	upper接客方法ORORupper施設upper人工物	2
天使空間	1	divdiVupper天使upper神upper善_divdiVupper空間upperその他所	2
近未来ノスタルジーエモパラドックス	1	divdiVupper近未来upper時代_divdiVupperノスタルジーupper気持ち_divdiVupperエモupper気持ち_divdiVupperパラドックスupperその他事	2
シャンパンコール	1	upper店内サービス	2
星座	1	upper星upper宇宙	2
ぴえん	1	upper状態	2
ゴシックメイド	1	divdiVupperゴシックupperファッション_divdiVupperメイドupper職業	2
王道	1	upper性質	2
クリエーター	1	upper職業	2
琉球メイド	1	divdiVupper琉球upper国_divdiVupperメイドupper職業	2
和風メイド	1	divdiVupper和風upper和_divdiVupperメイドupper職業	2
1日店長	1	upper店長upper職業	2
和装女子	1	upper和	2
パンダ	1	upper動物	2
空間	1	upperその他所	2
バーチャルアイドル	1	divdiVupperバーチャルupperデジタル_divdiVupperアイドルupper職業	2
2.5次元	1	upperアニメupperエンタメ	2
ラウンジ	1	upper接客方法ORORupper施設upper人工物	2
和洋折衷	1	upper和ORORupper洋	2
軍隊	1	upper職業	2
ゴスロリ	1	upperファッション	2
鬼悪魔	1	divdiVupper鬼upper和_divdiVupper悪魔upper悪	2
地獄	1	upper異世界	2
白黒	1	divdiVupper白upper色_divdiVupper黒upper色	2
貴族	1	upper身分	2
殺し屋メイド	1	divdiVupper殺し屋upper職業_divdiVupperメイドupper職業	2
過激	1	upper性質	2
大人	1	upper外観	2
ゆったり	1	upper性質	2
バー	1	upper接客方法ORORupper施設upper人工物	2
ウエスタン	1	upperアメリカンupper国	2
アニマルメイド	1	divdiVupper動物_divdiVupperメイドupper職業	2
レストラン	1	upper接客方法ORORupper施設upper人工物	2
宝石の国	1	divdiVupper宝石upperその他物_divdiVupper異世界	2
コテージ	1	upper設備upper人工物	2
サウナ	1	upper設備upper人工物	2
花の妖精	1	divdiVupper花upper自然_divdiVupper妖精upper空想	2
赤と黒の病院	1	divdiVupper赤upper色_divdiVupper黒upper色_divdiVupper病院upper施設upper人工物	2
チャイナドレス	1	divdiVupperチャイナupper国_divdiVupperドレスupperファッション	2
キャスト	1	キャストupper外観	2
かわいい衣装	1	divdiVupperかわいいupper外観_divdiVupper衣装upperファッション	2
みけねこ	1	upper猫upper動物	2
星のお姫様	1	divdiVupper星upper宇宙_divdiVupperお姫様upper身分	2
テーマパーク	1	upper施設upper人工物	2
鏡の国のアリス	1	divdiVupper鏡upperその他物_divdiVupper異世界	2
麻雀	1	upperギャンブルupperエンタメ	2
アイドル学校	1	divdiVupperアイドルupper職業_divdiVupper学校upper施設upper人工物	2
妄想の世界	1	upper異世界	2
悪	1	upperなし	2
豪華な店内	1	divdiVupper豪華upper外観_divdiVupper店内設備	2
展示	1	upper店内設備	2
二次元	1	upperアニメupperエンタメORORupperアニメupperサブカルチャー	2
同伴	1	upper店内サービス	2
恋愛シミュレーション	1	upperゲームupperエンタメ	2
赤	1	upper色	2
不幸	1	upper気持ち	2
高級感	1	upper外観	2
片想い	1	upper気持ち	2
しっぽ	1	upper動物	2
白猫	1	divdiVupper白upper色_divdiVupper猫upper動物	2
羊の国	1	divdiVupper羊upper動物_divdiVupper異世界	2
交差点	1	upperその他所	2
止まり木	1	upperその他所	2
オアシス	1	upper自然	2
魔導人形	1	divdiVupper魔法upper空想_divdiVupperドールupperおもちゃ	2
女子大生	1	upper女子学生upper学生upper職業	2
ハイスペック	1	upper性質	2
吸血鬼メイド	1	divdiVupper吸血鬼upper悪魔upper悪_divdiVupperメイドupper職業	2
ハロウィン	1	upper洋	2
エンジェルナース	1	divdiVupper天使upper神upper善_divdiVupperナースupper職業	2
女神	1	upper神upper善	2
海底神殿	1	divdiVupper海upper自然_divdiVupper神殿upper神upper善OROR神殿upper施設upper人工物	2
傘	1	upperその他物	2
動物園	1	upper施設upper人工物	2
社長秘書	1	upper秘書upper職業	2
乙女	1	upper外観	2
ネオスナック	1	upperスナックupper接客方法ORORupperスナックupper設備upper人工物	2
キツネ	1	upper動物	2
モデル	1	upper職業	2
カオス	1	upper状態	2
クラシカル	1	upper性質ORORupperファッション	2
ポーカー	1	upperゲームupperエンタメ	2
百合	1	upper花upper自然ORORupper女性の同性愛upper同性愛upper愛upper気持ち	2
ポジティブ	1	upper性質	2
ステージ	1	upper店内設備	2
