cafeId	openDate	oneHourFee	closedDate	Age	sYear	sMonth	eYear	eMonth	nofXfollower
CCafe152	202112	3000	c	2.92	2021.0	12.0	2024.0	11.0	18000.0
CCafe153	202107	4000	c	3.34	2021.0	7.0	2024.0	11.0	4911.0
CCafe154	202109	3960	c	3.17	2021.0	9.0	2024.0	11.0	539.0
CCafe155	202110	5520	c	3.09	2021.0	10.0	2024.0	11.0	345.0
CCafe156	202111	4500	202406	2.58	2021.0	11.0	2024.0	6.0	663.0
CCafe157	202109	3500	c	3.17	2021.0	9.0	2024.0	11.0	2572.0
CCafe158	202109	3300	c	3.17	2021.0	9.0	2024.0	11.0	2588.0
CCafe159	202201	4500	c	2.84	2022.0	1.0	2024.0	11.0	903.0
CCafe160	202103	2200	c	3.67	2021.0	3.0	2024.0	11.0	564.0
CCafe161	202106	3220	c	3.42	2021.0	6.0	2024.0	11.0	1150.0
CCafe162	202105	3600	c	3.51	2021.0	5.0	2024.0	11.0	295.0
CCafe163	202105	4648	c	3.51	2021.0	5.0	2024.0	11.0	2348.0
CCafe164	202103	3300	c	3.67	2021.0	3.0	2024.0	11.0	3314.0
CCafe165	202012	4800	c	3.92	2020.0	12.0	2024.0	11.0	1433.0
CCafe166	201712	unknown	c	6.92	2017.0	12.0	2024.0	11.0	846.0
CCafe167	202103	3000	c	3.67	2021.0	3.0	2024.0	11.0	1376.0
CCafe168	202010	2500	c	4.09	2020.0	10.0	2024.0	11.0	1209.0
CCafe169	201807	unknown	c	6.34	2018.0	7.0	2024.0	11.0	3708.0
CCafe170	202101	5040	c	3.84	2021.0	1.0	2024.0	11.0	2491.0
CCafe171	202010	3600	c	4.09	2020.0	10.0	2024.0	11.0	809.0
CCafe172	202011	5220	c	4.0	2020.0	11.0	2024.0	11.0	2461.0
CCafe173	202011	4455	c	4.0	2020.0	11.0	2024.0	11.0	1162.0
CCafe174	201305	4500	c	11.5	2013.0	5.0	2024.0	11.0	1164.0
CCafe175	202002	6000	c	4.75	2020.0	2.0	2024.0	11.0	1646.0
CCafe176	202310	unknown	c	1.09	2023.0	10.0	2024.0	11.0	4441.0
CCafe177	202309	unknown	c	1.17	2023.0	9.0	2024.0	11.0	334.0
CCafe178	201806	2000	c	6.42	2018.0	6.0	2024.0	11.0	2651.0
CCafe179	202303	3960	c	1.67	2023.0	3.0	2024.0	11.0	690.0
CCafe180	202308	5760	c	1.25	2023.0	8.0	2024.0	11.0	848.0
CCafe181	202307	unknown	c	1.34	2023.0	7.0	2024.0	11.0	1832.0
CCafe182	202307	unknown	c	1.34	2023.0	7.0	2024.0	11.0	420.0
CCafe183	202307	unknown	c	1.34	2023.0	7.0	2024.0	11.0	1012.0
CCafe184	202307	unknown	c	1.34	2023.0	7.0	2024.0	11.0	391.0
CCafe185	202007	5400	c	4.34	2020.0	7.0	2024.0	11.0	11000.0
CCafe186	202202	5175	c	2.75	2022.0	2.0	2024.0	11.0	6438.0
CCafe187	202003	2500	c	4.67	2020.0	3.0	2024.0	11.0	905.0
CCafe188	202004	3600	c	4.59	2020.0	4.0	2024.0	11.0	2773.0
CCafe189	201908	3300	c	5.26	2019.0	8.0	2024.0	11.0	1148.0
CCafe190	201807	unknown	c	6.34	2018.0	7.0	2024.0	11.0	
CCafe191	201509	2875	c	9.18	2015.0	9.0	2024.0	11.0	2265.0
CCafe192	201911	3750	c	5.01	2019.0	11.0	2024.0	11.0	1466.0
CCafe193	201905	2992	c	5.51	2019.0	5.0	2024.0	11.0	2590.0
CCafe194	201909	unknown	c	5.17	2019.0	9.0	2024.0	11.0	1986.0
CCafe195	201707	3000	c	7.34	2017.0	7.0	2024.0	11.0	2468.0
CCafe196	201701	3200	c	7.84	2017.0	1.0	2024.0	11.0	2790.0
CCafe197	201107	3000	c	13.3	2011.0	7.0	2024.0	11.0	1710.0
CCafe198	201703	4800	c	7.68	2017.0	3.0	2024.0	11.0	2790.0
CCafe199	201407	unknown	c	10.3	2014.0	7.0	2024.0	11.0	2155.0
CCafe200	200812	unknown	c	15.9	2008.0	12.0	2024.0	11.0	5850.0
CCafe201	202308	unknown	c	1.25	2023.0	8.0	2024.0	11.0	378.0
CCafe202	202012	4400	c	3.92	2020.0	12.0	2024.0	11.0	3199.0
CCafe203	202308	3300	c	1.25	2023.0	8.0	2024.0	11.0	643.0
CCafe204	202110	unknown	c	3.09	2021.0	10.0	2024.0	11.0	2165.0
CCafe205	202309	3300	c	1.17	2023.0	9.0	2024.0	11.0	433.0
CCafe206	202309	3300	c	1.17	2023.0	9.0	2024.0	11.0	671.0
CCafe207	202307	unknown	c	1.34	2023.0	7.0	2024.0	11.0	
CCafe208	202308	3600	c	1.25	2023.0	8.0	2024.0	11.0	438.0
CCafe209	202307	4000	c	1.34	2023.0	7.0	2024.0	11.0	1539.0
CCafe210	202306	3750	c	1.42	2023.0	6.0	2024.0	11.0	347.0
CCafe211	202306	2400	c	1.42	2023.0	6.0	2024.0	11.0	323.0
CCafe212	202307	unknown	c	1.34	2023.0	7.0	2024.0	11.0	4463.0
CCafe213	202306	3000	c	1.42	2023.0	6.0	2024.0	11.0	516.0
CCafe214	202306	2400	c	1.42	2023.0	6.0	2024.0	11.0	2367.0
CCafe215	202307	4425	c	1.34	2023.0	7.0	2024.0	11.0	78.0
CCafe216	202305	6261	c	1.51	2023.0	5.0	2024.0	11.0	3335.0
CCafe217	202305	2700	202406	1.09	2023.0	5.0	2024.0	6.0	849.0
CCafe218	202306	5400	c	1.42	2023.0	6.0	2024.0	11.0	568.0
CCafe219	202304	4032	c	1.59	2023.0	4.0	2024.0	11.0	1284.0
CCafe220	202303	3600	c	1.67	2023.0	3.0	2024.0	11.0	421.0
CCafe221	202305	3850	c	1.51	2023.0	5.0	2024.0	11.0	2277.0
CCafe222	202305	5400	c	1.51	2023.0	5.0	2024.0	11.0	1660.0
CCafe223	202304	3000	c	1.59	2023.0	4.0	2024.0	11.0	1201.0
CCafe224	202212	2750	c	1.92	2022.0	12.0	2024.0	11.0	704.0
CCafe225	202302	3000	c	1.75	2023.0	2.0	2024.0	11.0	913.0
CCafe226	202304	3300	c	1.59	2023.0	4.0	2024.0	11.0	708.0
CCafe227	202303	5040	c	1.67	2023.0	3.0	2024.0	11.0	879.0
CCafe228	202302	3300	c	1.75	2023.0	2.0	2024.0	11.0	3016.0
CCafe229	201406	1672	c	10.4	2014.0	6.0	2024.0	11.0	3367.0
CCafe230	202303	unknown	c	1.67	2023.0	3.0	2024.0	11.0	リンク切れ
CCafe231	202212	3000	c	1.92	2022.0	12.0	2024.0	11.0	283.0
CCafe232	201411	3740	c	10.0	2014.0	11.0	2024.0	11.0	134.0
CCafe233	202212	5400	c	1.92	2022.0	12.0	2024.0	11.0	2348.0
CCafe234	202207	5400	c	2.34	2022.0	7.0	2024.0	11.0	2106.0
CCafe235	202301	4125	c	1.84	2023.0	1.0	2024.0	11.0	1838.0
CCafe236	202006	4291	c	4.42	2020.0	6.0	2024.0	11.0	874.0
CCafe237	202209	2500	c	2.17	2022.0	9.0	2024.0	11.0	2404.0
CCafe238	202111	3000	c	3.0	2021.0	11.0	2024.0	11.0	3098.0
CCafe239	リンク無し	unknown	c						
CCafe240	202110	3300	202401	2.25	2021.0	10.0	2024.0	1.0	615.0
CCafe241	202106	3600	c	3.42	2021.0	6.0	2024.0	11.0	579.0
CCafe242	202108	5400	c	3.25	2021.0	8.0	2024.0	11.0	427.0
CCafe243	202109	3300	c	3.17	2021.0	9.0	2024.0	11.0	570.0
CCafe244	202107	3000	c	3.34	2021.0	7.0	2024.0	11.0	1970.0
CCafe245	202008	5400	c	4.25	2020.0	8.0	2024.0	11.0	867.0
CCafe246	201905	2200	c	5.51	2019.0	5.0	2024.0	11.0	1228.0
CCafe247	202109	unknown	c	3.17	2021.0	9.0	2024.0	11.0	2925.0
CCafe248	202107	3300	c	3.34	2021.0	7.0	2024.0	11.0	925.0
CCafe249	202104	3000	c	3.59	2021.0	4.0	2024.0	11.0	5214.0
CCafe250	201912	3600	c	4.92	2019.0	12.0	2024.0	11.0	1258.0
CCafe251	202304	5400	c	1.59	2023.0	4.0	2024.0	11.0	4081.0
CCafe252	202303	4125	c	1.67	2023.0	3.0	2024.0	11.0	1937.0
CCafe253	202212	5400	c	1.92	2022.0	12.0	2024.0	11.0	1140.0
CCafe254	202209	3600	c	2.17	2022.0	9.0	2024.0	11.0	1761.0
CCafe255	202204	3000	c	2.59	2022.0	4.0	2024.0	11.0	1058.0
CCafe256	202204	3080	c	2.59	2022.0	4.0	2024.0	11.0	1124.0
CCafe257	202106	4455	c	3.42	2021.0	6.0	2024.0	11.0	1149.0
CCafe258	202106	2500	c	3.42	2021.0	6.0	2024.0	11.0	21000.0
CCafe259	202105	1500	c	3.51	2021.0	5.0	2024.0	11.0	5690.0
CCafe260	202102	4400	c	3.75	2021.0	2.0	2024.0	11.0	3010.0
CCafe261	202009	3630	c	4.17	2020.0	9.0	2024.0	11.0	3839.0
CCafe262	202103	3120	c	3.67	2021.0	3.0	2024.0	11.0	1591.0
CCafe263	201903	unknown	c	5.68	2019.0	3.0	2024.0	11.0	1497.0
CCafe264	202103	3600	c	3.67	2021.0	3.0	2024.0	11.0	4885.0
CCafe265	202103	3090	c	3.67	2021.0	3.0	2024.0	11.0	1022.0
CCafe266	202101	3600	c	3.84	2021.0	1.0	2024.0	11.0	1044.0
CCafe267	202303	5400	c	1.67	2023.0	3.0	2024.0	11.0	16000.0
CCafe268	201901	3000	c	5.84	2019.0	1.0	2024.0	11.0	595.0
CCafe269	201812	2904	c	5.92	2018.0	12.0	2024.0	11.0	208.0
CCafe270	201811	unknown	c	6.01	2018.0	11.0	2024.0	11.0	2251.0
CCafe271	201809	unknown	c	6.17	2018.0	9.0	2024.0	11.0	2643.0
CCafe272	202112	2882	c	2.92	2021.0	12.0	2024.0	11.0	11000.0
CCafe273	201708	4291	c	7.26	2017.0	8.0	2024.0	11.0	6113.0
CCafe274	201704	2904	c	7.59	2017.0	4.0	2024.0	11.0	2800.0
CCafe275	201404	unknown	c	10.6	2014.0	4.0	2024.0	11.0	3436.0
CCafe276	202203	6300	c	2.67	2022.0	3.0	2024.0	11.0	923.0
CCafe277	201901	5400	c	5.84	2019.0	1.0	2024.0	11.0	4426.0
CCafe278	201804	2300	202407	6.25	2018.0	4.0	2024.0	7.0	1205.0
CCafe279	201804	3300	c	6.59	2018.0	4.0	2024.0	11.0	1046.0
CCafe280	201706	2800	c	7.42	2017.0	6.0	2024.0	11.0	1032.0
CCafe281	201602	3450	c	8.76	2016.0	2.0	2024.0	11.0	257.0
CCafe282	201702	unknown	c	7.75	2017.0	2.0	2024.0	11.0	9771.0
CCafe283	201503	2480	c	9.68	2015.0	3.0	2024.0	11.0	1532.0
CCafe284	201406	2980	c	10.4	2014.0	6.0	2024.0	11.0	3820.0
CCafe285	201604	3300	c	8.59	2016.0	4.0	2024.0	11.0	3010.0
CCafe286	201511	1000	c	9.01	2015.0	11.0	2024.0	11.0	7638.0
CCafe287	201902	3000	c	5.75	2019.0	2.0	2024.0	11.0	1317.0
CCafe288	201511	unknown	c	9.01	2015.0	11.0	2024.0	11.0	2502.0
CCafe289	201504	3080	c	9.59	2015.0	4.0	2024.0	11.0	1483.0
CCafe290	201412	3410	c	9.93	2014.0	12.0	2024.0	11.0	1251.0
CCafe291	201408	unknown	c	10.3	2014.0	8.0	2024.0	11.0	1176.0
CCafe292	201304	4620	c	11.6	2013.0	4.0	2024.0	11.0	2928.0
CCafe293	201302	3000	201408	1.5	2013.0	2.0	2014.0	8.0	
CCafe294	200706	unknown	c	17.4	2007.0	6.0	2024.0	11.0	1496.0
CCafe295	200311	unknown	c	21.0	2003.0	11.0	2024.0	11.0	4286.0
CCafe296	202109	4500	c	3.17	2021.0	9.0	2024.0	11.0	887.0
CCafe297	202005	4025	c	4.51	2020.0	5.0	2024.0	11.0	342.0
CCafe298	201905	5400	c	5.51	2019.0	5.0	2024.0	11.0	
CCafe299	201703	3450	c	7.68	2017.0	3.0	2024.0	11.0	2294.0
CCafe300	202005	3399	c	4.51	2020.0	5.0	2024.0	11.0	886.0
CCafe301	202406	2900	c	0.419	2024.0	6.0	2024.0	11.0	972.0
CCafe302	202304	3500	c	1.59	2023.0	4.0	2024.0	11.0	428.0
CCafe303	202408	3600	c	0.252	2024.0	8.0	2024.0	11.0	27.0
CCafe304	202406	4500	c	0.419	2024.0	6.0	2024.0	11.0	
CCafe305	202406	3600	c	0.419	2024.0	6.0	2024.0	11.0	48.0
CCafe306	202406	4291	c	0.419	2024.0	6.0	2024.0	11.0	102.0
CCafe307	202404	3300	c	0.586	2024.0	4.0	2024.0	11.0	112.0
CCafe308	202410	unknown	c	0.085	2024.0	10.0	2024.0	11.0	212.0
CCafe309	202404	3500	c	0.586	2024.0	4.0	2024.0	11.0	125.0
CCafe310	202406	2200	c	0.419	2024.0	6.0	2024.0	11.0	47.0
CCafe311	202403	4000	c	0.671	2024.0	3.0	2024.0	11.0	413.0
CCafe312	202404	4500	c	0.586	2024.0	4.0	2024.0	11.0	938.0
CCafe313	202406	3750	c	0.419	2024.0	6.0	2024.0	11.0	91.0
CCafe314	202403	4500	c	0.671	2024.0	3.0	2024.0	11.0	37.0
CCafe315	202406	5400	c	0.419	2024.0	6.0	2024.0	11.0	561.0
CCafe316	202304	3300	c	1.59	2023.0	4.0	2024.0	11.0	
CCafe317	202404	5445	c	0.586	2024.0	4.0	2024.0	11.0	1103.0
CCafe318	202104	5616	c	3.59	2021.0	4.0	2024.0	11.0	848.0
CCafe319	202404	unknown	c	0.586	2024.0	4.0	2024.0	11.0	565.0
CCafe320	201910	2970	c	5.09	2019.0	10.0	2024.0	11.0	2013.0
CCafe321	201801	2400	c	6.84	2018.0	1.0	2024.0	11.0	172.0
CCafe322	201709	2800	c	7.17	2017.0	9.0	2024.0	11.0	
CCafe323	201108	unknown	c	13.3	2011.0	8.0	2024.0	11.0	
CCafe324	201109	3000	202003	8.5	2011.0	9.0	2020.0	3.0	1003.0
CCafe325	202404	3600	c	0.586	2024.0	4.0	2024.0	11.0	361.0
CCafe326	202405	unknown	c	0.504	2024.0	5.0	2024.0	11.0	326.0
CCafe327	202404	5400	c	0.586	2024.0	4.0	2024.0	11.0	1120.0
CCafe328	202405	unknown	c	0.504	2024.0	5.0	2024.0	11.0	466.0
CCafe329	202403	3600	c	0.671	2024.0	3.0	2024.0	11.0	197.0
CCafe330	202312	unknown	c	0.921	2023.0	12.0	2024.0	11.0	280.0
CCafe331	202405	unknown	c	0.504	2024.0	5.0	2024.0	11.0	161.0
CCafe332	202402	6672	c	0.751	2024.0	2.0	2024.0	11.0	625.0
CCafe333	202202	4000	c	2.75	2022.0	2.0	2024.0	11.0	303.0
CCafe334	202312	3600	c	0.921	2023.0	12.0	2024.0	11.0	197.0
CCafe335	202401	3600	c	0.836	2024.0	1.0	2024.0	11.0	107.0
CCafe336	202408	3300	c	0.252	2024.0	8.0	2024.0	11.0	502.0
CCafe337	201205	unknown	c	12.5	2012.0	5.0	2024.0	11.0	20000.0
CCafe338	202406	3900	c	0.419	2024.0	6.0	2024.0	11.0	62.0
CCafe339	202311	3600	c	1.0	2023.0	11.0	2024.0	11.0	186.0
CCafe340	202403	unknown	c	0.671	2024.0	3.0	2024.0	11.0	237.0
CCafe341	201108	unknown	c	13.3	2011.0	8.0	2024.0	11.0	207.0
CCafe342	202403	unknown	c	0.671	2024.0	3.0	2024.0	11.0	198.0
CCafe343	リンク切れ	unknown	c						
CCafe344	リンク切れ	unknown	c						
